0,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950
0,0,0,0,0,0,0,0,0,46,259,828,1785,3231,4648,6359,7638,8239,8168,7512
0,0,0,0,0,0,0,0,0,10,81,129,162,69,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8,73,53,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3,20,35,27,30,5,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,86,326,640,982,1364,1249,1061,820,315,26
0,0,0,0,0,0,0,0,0,2,29,53,45,52,34,55,2,2,0,0
0,0,0,0,0,0,0,0,0,0,24,144,438,902,1352,1283,1064,789,436,62
0,0,0,0,0,0,0,0,0,0,31,190,482,696,679,480,162,24,0,0
0,0,0,0,0,0,0,0,0,0,11,91,198,182,179,88,8,0,0,0
0,0,0,0,0,0,0,0,0,0,39,441,1110,2024,2828,3275,3405,3044,2267,1694
0,0,0,0,0,0,0,0,0,0,17,46,43,35,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,42,300,782,1031,1188,781,170,6,3,0
0,0,0,0,0,0,0,0,0,0,29,53,78,190,294,319,372,154,38,1
0,0,0,0,0,0,0,0,0,0,11,128,299,542,634,545,337,144,18,0
0,0,0,0,0,0,0,0,0,0,11,47,15,20,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,53,60,71,40,48,0,0,0,0
0,0,0,0,0,0,0,0,0,0,21,109,249,337,234,70,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,9,114,384,855,1382,1656,1333,851,389
0,0,0,0,0,0,0,0,0,0,14,109,111,42,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,14,20,104,240,657,983,1074,962,605,300
0,0,0,0,0,0,0,0,0,0,2,162,837,1845,3195,4291,4603,4179,3434,2703
0,0,0,0,0,0,0,0,0,0,3,21,47,79,21,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,32,246,378,349,194,57,14,0,0
